age,income,region
26.0,69141.0,east
33.0,70316.0,south
51.0,53997.0,east
49.0,71401.0,east
40.0,84952.0,east
31.0,59564.0,north
37.0,45238.0,south
40.0,49025.0,north
45.0,50521.0,north
19.0,64311.0,south
39.0,44293.0,east
34.0,33361.0,east
26.0,50100.0,west
39.0,36517.0,east
47.0,83036.0,south
39.0,51657.0,north
37.0,48790.0,north
46.0,86710.0,north
30.0,68410.0,north
16.0,78531.0,north
39.0,47501.0,east
47.0,84608.0,north
44.0,60453.0,east
53.0,34502.0,east
22.0,55747.0,south
41.0,73922.0,north
35.0,71275.0,north
62.0,63908.0,west
40.0,84197.0,south
34.0,69127.0,west
40.0,57943.0,south
30.0,52069.0,north
44.0,54581.0,east
30.0,70150.0,north
35.0,74326.0,south
43.0,53272.0,south
43.0,54227.0,west
28.0,39638.0,east
37.0,58926.0,south
57.0,80201.0,south
47.0,30967.0,east
44.0,89368.0,east
48.0,68547.0,north
32.0,72677.0,west
43.0,56519.0,west
22.0,68900.0,west
37.0,44018.0,south
34.0,49622.0,west
38.0,26405.0,east
35.0,52981.0,south
34.0,60631.0,north
33.0,62250.0,south
35.0,55520.0,east
52.0,57970.0,east
31.0,73837.0,south
28.0,54160.0,south
38.0,83088.0,west
42.0,58698.0,east
60.0,41006.0,west
42.0,80520.0,south
35.0,57679.0,north
45.0,58917.0,north
30.0,53907.0,north
42.0,39573.0,south
40.0,76458.0,south
39.0,55582.0,north
40.0,22620.0,west
40.0,84634.0,west
58.0,38162.0,west
47.0,79326.0,south
62.0,78345.0,west
43.0,52247.0,north
43.0,65496.0,north
36.0,53709.0,south
32.0,62405.0,south
39.0,63623.0,west
24.0,71990.0,west
35.0,53981.0,south
32.0,49911.0,south
25.0,57309.0,east
34.0,70578.0,south
24.0,59880.0,east
23.0,86737.0,south
59.0,54081.0,south
46.0,51354.0,north
40.0,72610.0,east
33.0,37014.0,north
30.0,60784.0,south
41.0,42776.0,west
48.0,76574.0,west
36.0,52429.0,north
44.0,24720.0,north
35.0,52566.0,south
38.0,51836.0,west
46.0,81647.0,east
21.0,77071.0,west
33.0,47242.0,east
38.0,61782.0,north
50.0,57418.0,north
41.0,67726.0,east
51.0,52049.0,south
31.0,79943.0,west
21.0,62290.0,west
24.0,88917.0,north
40.0,63210.0,north
50.0,38029.0,south
23.0,34014.0,east
17.0,71860.0,north
31.0,67199.0,east
38.0,40476.0,north
45.0,69489.0,west
47.0,44007.0,south
47.0,70628.0,east
43.0,48492.0,east
47.0,36237.0,west
48.0,74757.0,west
50.0,42508.0,east
17.0,53702.0,east
39.0,70309.0,east
47.0,70812.0,east
43.0,63294.0,west
28.0,69778.0,east
30.0,83926.0,west
52.0,42856.0,west
37.0,64999.0,west
46.0,67867.0,south
36.0,68208.0,east
44.0,56038.0,north
27.0,58126.0,south
50.0,50577.0,east
37.0,59312.0,north
19.0,72066.0,east
44.0,31534.0,west
37.0,81655.0,south
55.0,88873.0,south
52.0,70248.0,north
44.0,55917.0,south
40.0,35371.0,north
42.0,48965.0,west
39.0,44095.0,east
38.0,85509.0,west
56.0,73238.0,south
43.0,70659.0,east
47.0,70333.0,south
44.0,48068.0,west
38.0,89563.0,east
44.0,63690.0,south
41.0,55678.0,west
31.0,72490.0,south
36.0,52203.0,south
59.0,63295.0,west
26.0,72807.0,east
39.0,61932.0,west
34.0,46646.0,north
24.0,51203.0,south
57.0,72887.0,west
54.0,54042.0,north
47.0,40967.0,east
54.0,62458.0,west
46.0,55821.0,south
51.0,59186.0,south
24.0,49455.0,north
47.0,72607.0,east
46.0,71372.0,west
30.0,85173.0,east
38.0,72305.0,north
40.0,94713.0,west
24.0,74758.0,east
49.0,42308.0,north
30.0,55449.0,north
32.0,50564.0,west
60.0,55536.0,north
44.0,67233.0,west
46.0,74855.0,east
29.0,75753.0,east
40.0,64984.0,west
36.0,81127.0,east
45.0,99846.0,south
29.0,54083.0,north
36.0,26285.0,west
46.0,34286.0,east
42.0,66426.0,north
62.0,52522.0,west
28.0,43282.0,west
27.0,78333.0,south
56.0,94496.0,west
26.0,47370.0,south
36.0,83063.0,north
27.0,44689.0,south
45.0,19598.0,east
44.0,68984.0,east
27.0,75035.0,north
37.0,81161.0,east
42.0,45433.0,south
29.0,67801.0,north
53.0,84685.0,south
56.0,23297.0,west
44.0,85858.0,west
31.0,52798.0,east
34.0,63620.0,east
35.0,60376.0,north
56.0,65311.0,north
44.0,88206.0,east
36.0,71094.0,west
43.0,41443.0,south
36.0,57644.0,north
37.0,30175.0,east
39.0,81632.0,west
39.0,75547.0,west
7.0,44114.0,west
58.0,64249.0,north
42.0,37229.0,south
46.0,70326.0,east
60.0,62480.0,north
27.0,99262.0,north
40.0,50102.0,east
36.0,69172.0,south
34.0,27901.0,east
39.0,81854.0,south
25.0,42713.0,east
56.0,64270.0,west
38.0,34735.0,south
32.0,81234.0,north
39.0,56558.0,north
52.0,57116.0,north
49.0,69233.0,east
36.0,67356.0,west
42.0,49949.0,east
20.0,68105.0,west
32.0,68216.0,south
49.0,51079.0,west
57.0,70124.0,west
54.0,57784.0,north
49.0,61273.0,north
23.0,62137.0,east
53.0,77792.0,north
39.0,58957.0,south
34.0,39747.0,north
42.0,61731.0,east
51.0,40829.0,south
23.0,58961.0,south
33.0,75089.0,west
48.0,60874.0,east
39.0,42294.0,east
41.0,59676.0,south
46.0,49756.0,south
62.0,44212.0,west
42.0,34168.0,south
21.0,52531.0,north
36.0,71118.0,south
59.0,80937.0,west
26.0,81051.0,south
38.0,65260.0,east
32.0,71453.0,east
41.0,64296.0,south
39.0,53048.0,north
49.0,86285.0,west
21.0,33845.0,north
50.0,85179.0,north
38.0,63967.0,north
56.0,65253.0,east
53.0,58259.0,east
47.0,65180.0,east
39.0,59497.0,north
11.0,66979.0,north
36.0,43251.0,south
37.0,68649.0,west
27.0,50886.0,west
24.0,80298.0,north
39.0,59454.0,south
29.0,72566.0,west
37.0,38716.0,west
24.0,60878.0,north
42.0,40737.0,east
29.0,49490.0,west
47.0,87778.0,south
27.0,72897.0,north
44.0,41799.0,west
42.0,67163.0,west
53.0,69203.0,east
46.0,62038.0,south
54.0,57601.0,east
31.0,43681.0,west
40.0,56179.0,west
40.0,68994.0,east
41.0,67278.0,north
42.0,50687.0,west
35.0,78335.0,west
38.0,73165.0,west
43.0,62502.0,south
43.0,58719.0,west
25.0,54225.0,east
43.0,62789.0,north
43.0,50200.0,north
33.0,54369.0,east
37.0,69429.0,east
43.0,82672.0,south
18.0,66768.0,east
64.0,54709.0,south
31.0,66462.0,east
27.0,50772.0,south
26.0,69025.0,east
45.0,55720.0,east
30.0,88986.0,south
35.0,47101.0,east
31.0,59258.0,west
56.0,87928.0,north
53.0,44614.0,north
34.0,57027.0,south
26.0,52194.0,north
33.0,59466.0,south
35.0,32314.0,north
35.0,61078.0,south
39.0,65969.0,south
57.0,27502.0,south
42.0,59695.0,south
36.0,90567.0,east
69.0,64398.0,east
35.0,83758.0,north
41.0,87924.0,east
42.0,51016.0,south
18.0,75882.0,south
52.0,50426.0,south
49.0,57123.0,south
41.0,48259.0,north
38.0,78804.0,south
46.0,49493.0,east
8.0,61251.0,north
55.0,57355.0,north
33.0,67674.0,west
47.0,60783.0,north
32.0,60907.0,west
27.0,70409.0,west
23.0,59827.0,east
44.0,63461.0,south
41.0,66488.0,west
31.0,61796.0,east
9.0,42075.0,north
50.0,52972.0,north
36.0,52766.0,north
46.0,81540.0,east
27.0,48899.0,north
41.0,86460.0,south
36.0,45323.0,west
40.0,47298.0,east
41.0,50076.0,north
42.0,54103.0,north
40.0,56514.0,north
35.0,79890.0,south
39.0,60813.0,north
61.0,79550.0,north
38.0,90109.0,west
25.0,49148.0,north
27.0,62373.0,north
25.0,39934.0,west
48.0,75173.0,south
50.0,57020.0,west
39.0,65386.0,west
49.0,60361.0,west
28.0,50778.0,west
55.0,77657.0,north
41.0,48868.0,east
28.0,69074.0,west
54.0,51302.0,east
50.0,56376.0,north
33.0,37176.0,west
31.0,57491.0,north
36.0,73884.0,west
55.0,49592.0,west
34.0,86268.0,east
34.0,25926.0,east
9.0,59693.0,north
37.0,61651.0,east
27.0,57769.0,north
37.0,84360.0,west
39.0,52539.0,south
42.0,61116.0,west
35.0,77631.0,east
49.0,52358.0,east
36.0,53413.0,north
40.0,51733.0,west
52.0,71873.0,west
21.0,60830.0,north
44.0,36125.0,north
39.0,64005.0,north
46.0,57612.0,west
34.0,35172.0,south
34.0,53596.0,south
28.0,63046.0,south
47.0,94623.0,north
27.0,53592.0,south
17.0,53359.0,east
48.0,67101.0,east
35.0,53927.0,east
39.0,50582.0,west
37.0,62672.0,south
36.0,52546.0,south
40.0,48616.0,west
32.0,61382.0,west
39.0,51329.0,north
34.0,66694.0,south
35.0,55401.0,east
25.0,87335.0,north
23.0,63705.0,east
44.0,45355.0,north
48.0,57831.0,west
35.0,67329.0,north
42.0,37873.0,west
20.0,79735.0,west
34.0,56583.0,south
25.0,83499.0,west
47.0,51136.0,west
46.0,66178.0,east
20.0,56033.0,north
46.0,70964.0,north
42.0,75724.0,north
42.0,69160.0,north
27.0,47038.0,west
46.0,31648.0,west
30.0,63989.0,west
49.0,61932.0,west
43.0,65868.0,west
31.0,42568.0,south
42.0,68769.0,east
19.0,33465.0,north
34.0,73063.0,south
30.0,84405.0,north
31.0,48975.0,north
41.0,27499.0,south
48.0,51717.0,west
43.0,9976.0,east
56.0,40848.0,east
34.0,55600.0,east
40.0,57707.0,west
34.0,79412.0,south
40.0,96127.0,south
41.0,73352.0,south
42.0,63523.0,east
38.0,64103.0,west
40.0,46695.0,east
40.0,51336.0,south
37.0,51517.0,east
27.0,48048.0,east
23.0,36756.0,west
47.0,48415.0,south
25.0,57168.0,north
34.0,28898.0,south
39.0,47580.0,west
29.0,59277.0,west
47.0,70687.0,south
35.0,84842.0,east
38.0,49136.0,west
41.0,69072.0,north
37.0,80374.0,north
28.0,58604.0,north
45.0,86260.0,west
32.0,48714.0,west
30.0,69670.0,north
19.0,77719.0,east
44.0,68800.0,east
45.0,70836.0,west
28.0,58969.0,east
42.0,35723.0,west
41.0,57557.0,east
40.0,70937.0,west
41.0,65048.0,west
40.0,66802.0,east
27.0,51528.0,south
48.0,72288.0,south
24.0,73798.0,south
44.0,59657.0,west
50.0,72882.0,north
32.0,39375.0,east
31.0,51473.0,east
49.0,48019.0,north
43.0,72346.0,south
31.0,36458.0,east
59.0,69473.0,north
54.0,74548.0,west
43.0,49762.0,west
41.0,48116.0,east
36.0,79224.0,south
33.0,70808.0,east
38.0,45027.0,west
38.0,68076.0,west
53.0,75452.0,south
51.0,62657.0,west
42.0,61405.0,west
38.0,59790.0,east
39.0,89878.0,south
34.0,52116.0,south
51.0,55038.0,east
39.0,31831.0,north
33.0,69395.0,east
43.0,63752.0,south
48.0,53665.0,north
33.0,66747.0,east
39.0,98806.0,west
31.0,61970.0,south
39.0,54014.0,north
28.0,79007.0,west
64.0,39978.0,north
19.0,38888.0,west
20.0,47110.0,north
52.0,50212.0,north
48.0,47316.0,north
35.0,51972.0,west
36.0,31045.0,south
51.0,52394.0,east
13.0,77396.0,west
52.0,56337.0,south
41.0,33164.0,east
46.0,70863.0,east
28.0,65308.0,north
29.0,54186.0,east
54.0,66289.0,west
32.0,69483.0,south
42.0,47993.0,east
28.0,56062.0,east
36.0,69190.0,south
45.0,64788.0,south
34.0,58963.0,east
57.0,76026.0,north
47.0,87150.0,south
65.0,80468.0,north
39.0,58621.0,south
32.0,41747.0,north
55.0,61195.0,south
48.0,25153.0,north
51.0,71749.0,north
33.0,83534.0,south
60.0,76073.0,west
44.0,66240.0,east
45.0,70625.0,west
51.0,33679.0,north
36.0,47919.0,north
36.0,46578.0,west
30.0,79601.0,south
41.0,53410.0,south
59.0,57987.0,east
36.0,42034.0,north
36.0,87273.0,east
34.0,65769.0,east
50.0,51858.0,east
54.0,62670.0,south
61.0,70256.0,west
45.0,58115.0,north
36.0,91244.0,east
53.0,38507.0,east
49.0,54150.0,south
21.0,50064.0,north
27.0,59644.0,east
58.0,63657.0,west
39.0,34219.0,south
38.0,63400.0,west
21.0,64368.0,west
25.0,40911.0,south
35.0,56414.0,east
33.0,47009.0,south
36.0,62025.0,west
67.0,43730.0,south
40.0,71525.0,east
48.0,44783.0,north
43.0,87908.0,east
40.0,67261.0,north
33.0,48193.0,south
34.0,76345.0,east
40.0,65298.0,north
36.0,50149.0,north
41.0,54170.0,west
43.0,63138.0,west
41.0,48344.0,west
39.0,88068.0,west
44.0,38564.0,east
19.0,55120.0,west
57.0,38761.0,west
59.0,60912.0,west
47.0,61879.0,south
44.0,65144.0,south
43.0,80380.0,east
35.0,84031.0,west
42.0,61209.0,east
34.0,53924.0,north
53.0,59373.0,east
51.0,69267.0,south
49.0,65893.0,west
62.0,92091.0,south
29.0,73306.0,north
36.0,58784.0,north
35.0,41599.0,west
48.0,72485.0,west
38.0,51520.0,east
24.0,65941.0,south
43.0,56900.0,west
45.0,50294.0,west
43.0,45435.0,west
29.0,56054.0,south
20.0,41490.0,south
24.0,57936.0,north
46.0,68777.0,east
39.0,93236.0,south
28.0,42768.0,south
33.0,80603.0,east
51.0,41079.0,east
43.0,70643.0,north
48.0,59068.0,west
40.0,58637.0,east
61.0,66880.0,west
48.0,82137.0,south
27.0,51556.0,south
27.0,59144.0,west
46.0,54616.0,east
46.0,53140.0,east
37.0,33636.0,west
50.0,56155.0,east
38.0,86270.0,west
44.0,55676.0,west
36.0,66760.0,west
36.0,79508.0,east
45.0,74196.0,north
54.0,40499.0,north
33.0,54564.0,south
52.0,85784.0,north
64.0,63096.0,east
51.0,65909.0,north
35.0,76089.0,west
39.0,82064.0,south
50.0,34209.0,north
41.0,82348.0,north
50.0,47358.0,north
40.0,68658.0,east
57.0,43537.0,north
41.0,59579.0,east
29.0,52530.0,north
50.0,80081.0,south
53.0,65312.0,east
37.0,61252.0,north
35.0,46040.0,north
51.0,64577.0,north
47.0,71529.0,east
46.0,53269.0,east
27.0,32235.0,west
29.0,78843.0,north
44.0,52743.0,north
26.0,68112.0,west
54.0,91638.0,west
35.0,55078.0,east
59.0,62915.0,east
49.0,93593.0,north
52.0,62801.0,west
36.0,48404.0,west
34.0,46590.0,south
37.0,56811.0,south
45.0,72462.0,north
30.0,60102.0,west
30.0,74340.0,south
35.0,60237.0,south
30.0,81037.0,north
42.0,92629.0,south
30.0,78526.0,east
42.0,92768.0,west
38.0,48949.0,south
48.0,71118.0,north
25.0,53312.0,west
24.0,75957.0,west
40.0,58866.0,east
29.0,90076.0,west
39.0,61304.0,south
35.0,32915.0,north
41.0,32556.0,north
36.0,57015.0,north
45.0,59575.0,north
39.0,51790.0,north
43.0,55372.0,west
37.0,65593.0,north
41.0,57479.0,south
35.0,37858.0,south
52.0,69077.0,east
57.0,75451.0,east
33.0,65908.0,east
36.0,38004.0,north
50.0,61920.0,north
52.0,81317.0,east
44.0,75204.0,west
36.0,57094.0,south
46.0,42445.0,north
38.0,68643.0,west
57.0,41786.0,south
41.0,66717.0,south
43.0,48687.0,north
64.0,68085.0,south
45.0,48576.0,west
46.0,50805.0,south
38.0,51340.0,east
45.0,48725.0,west
38.0,63156.0,east
44.0,47976.0,north
32.0,78015.0,east
50.0,80501.0,east
51.0,84738.0,east
43.0,81217.0,west
46.0,78310.0,west
29.0,56996.0,east
29.0,47419.0,north
56.0,104707.0,west
51.0,75061.0,south
36.0,65279.0,south
41.0,72037.0,south
46.0,56743.0,south
24.0,75145.0,south
45.0,67493.0,south
49.0,36311.0,north
51.0,41428.0,west
29.0,78587.0,west
32.0,51214.0,west
71.0,62810.0,west
41.0,36808.0,west
42.0,57670.0,south
40.0,51103.0,south
32.0,63354.0,west
48.0,33663.0,south
57.0,49721.0,east
45.0,65632.0,west
53.0,48419.0,west
39.0,77872.0,west
43.0,70079.0,west
26.0,49536.0,south
56.0,34137.0,north
48.0,24205.0,east
30.0,55560.0,east
38.0,66767.0,east
42.0,58362.0,north
57.0,46418.0,west
33.0,42016.0,west
47.0,74437.0,east
35.0,28595.0,west
50.0,74520.0,north
27.0,75478.0,east
46.0,58585.0,west
39.0,86865.0,north
43.0,51661.0,east
45.0,46936.0,north
39.0,59146.0,north
29.0,32803.0,west
33.0,62330.0,south
22.0,78008.0,west
43.0,42463.0,south
44.0,72797.0,north
60.0,44161.0,east
61.0,62351.0,south
39.0,50541.0,north
43.0,66002.0,north
30.0,23209.0,east
42.0,72441.0,south
44.0,82808.0,south
49.0,55753.0,west
49.0,59345.0,north
44.0,97182.0,north
26.0,56971.0,west
34.0,71123.0,east
45.0,76958.0,east
46.0,74106.0,north
21.0,48540.0,west
40.0,65036.0,east
41.0,54086.0,south
33.0,60848.0,west
37.0,44659.0,west
49.0,46854.0,west
58.0,64621.0,east
46.0,74416.0,north
40.0,35204.0,south
52.0,68525.0,west
32.0,87848.0,west
26.0,68809.0,east
45.0,50007.0,west
50.0,41964.0,south
34.0,91841.0,east
31.0,72833.0,west
37.0,94012.0,south
41.0,28737.0,north
36.0,52413.0,west
25.0,63840.0,north
45.0,36124.0,east
40.0,59420.0,south
45.0,48656.0,south
48.0,50951.0,south
61.0,76877.0,south
48.0,60132.0,north
43.0,64146.0,east
53.0,43165.0,north
8.0,56125.0,west
50.0,71705.0,north
31.0,63404.0,west
32.0,35963.0,east
39.0,53498.0,north
49.0,52751.0,south
35.0,54275.0,west
19.0,71135.0,north
26.0,67873.0,north
45.0,60282.0,east
46.0,67995.0,east
55.0,44695.0,west
42.0,45282.0,west
21.0,61628.0,west
41.0,49346.0,east
52.0,52016.0,east
26.0,51787.0,east
19.0,81939.0,south
46.0,57617.0,south
46.0,52902.0,south
45.0,55122.0,north
18.0,52245.0,north
50.0,60422.0,east
35.0,52183.0,south
40.0,57011.0,east
49.0,70091.0,east
36.0,48285.0,west
25.0,75653.0,east
42.0,66340.0,east
45.0,62682.0,west
46.0,45796.0,east
44.0,67644.0,west
58.0,72369.0,south
43.0,104197.0,east
45.0,66374.0,south
44.0,52858.0,west
43.0,38988.0,west
37.0,65518.0,west
36.0,59440.0,south
54.0,33946.0,south
30.0,75105.0,west
26.0,74757.0,east
53.0,45963.0,south
31.0,62652.0,north
30.0,64612.0,west
49.0,87160.0,west
39.0,68132.0,east
45.0,55745.0,west
29.0,42921.0,east
41.0,56598.0,south
48.0,78989.0,south
26.0,61934.0,east
25.0,71851.0,south
22.0,64925.0,west
69.0,87154.0,west
30.0,70603.0,north
49.0,60200.0,south
52.0,57026.0,north
29.0,53082.0,north
37.0,60401.0,north
37.0,70533.0,north
43.0,43906.0,north
36.0,44430.0,west
43.0,55390.0,north
17.0,79696.0,west
48.0,83657.0,south
54.0,53629.0,north
32.0,68489.0,north
39.0,69201.0,south
24.0,57710.0,east
42.0,55179.0,north
38.0,48165.0,west
31.0,27578.0,east
36.0,58964.0,east
29.0,50451.0,east
50.0,65678.0,south
35.0,58599.0,north
30.0,57109.0,east
38.0,69886.0,west
21.0,60065.0,west
35.0,53497.0,west
42.0,47922.0,north
37.0,54245.0,south
37.0,70760.0,east
50.0,96511.0,north
28.0,42484.0,west
46.0,50669.0,east
38.0,47282.0,east
46.0,72934.0,east
32.0,50395.0,south
63.0,66884.0,south
32.0,49773.0,south
38.0,65909.0,east
37.0,56375.0,east
