age,income,region,channel
24.0,82790.0,south,web
58.0,58398.0,south,web
33.0,55127.0,north,store
37.0,75435.0,north,store
58.0,58224.0,east,store
38.0,37591.0,north,store
57.0,66049.0,north,store
22.0,39470.0,south,web
54.0,65496.0,south,store
25.0,56121.0,south,web
35.0,43198.0,east,store
58.0,56801.0,north,store
52.0,43005.0,east,store
62.0,65088.0,north,web
36.0,61160.0,north,store
69.0,25016.0,west,web
42.0,59906.0,south,web
30.0,65337.0,north,web
33.0,51908.0,north,store
53.0,19375.0,north,store
58.0,83666.0,east,store
29.0,59684.0,north,web
25.0,58488.0,north,store
41.0,39285.0,north,store
40.0,69289.0,north,store
42.0,65797.0,west,web
46.0,36840.0,north,store
34.0,60031.0,south,store
46.0,52184.0,north,web
43.0,68453.0,north,web
29.0,68924.0,east,store
40.0,41250.0,east,web
49.0,46624.0,north,web
55.0,25011.0,south,web
36.0,58016.0,west,web
51.0,61162.0,south,web
42.0,64186.0,south,store
57.0,74448.0,north,store
48.0,61230.0,north,web
45.0,32960.0,north,store
62.0,46855.0,north,web
44.0,60905.0,south,web
24.0,47313.0,south,web
62.0,57087.0,south,store
55.0,62365.0,north,store
45.0,55556.0,north,store
31.0,72841.0,north,store
47.0,57683.0,north,store
51.0,56282.0,south,store
32.0,40404.0,north,store
42.0,64367.0,south,store
54.0,73954.0,north,web
74.0,70521.0,west,store
58.0,37607.0,north,web
62.0,77888.0,east,store
64.0,40120.0,east,web
35.0,49760.0,north,store
64.0,52365.0,south,store
37.0,72812.0,north,store
58.0,45908.0,north,web
47.0,67010.0,north,store
47.0,66544.0,east,web
46.0,37331.0,north,web
49.0,56025.0,south,store
37.0,32155.0,north,store
38.0,53997.0,north,store
40.0,49020.0,north,store
48.0,50223.0,south,web
48.0,50037.0,east,store
48.0,42441.0,east,store
39.0,58878.0,north,web
38.0,84188.0,west,web
64.0,58777.0,south,web
38.0,69898.0,east,web
47.0,84307.0,east,store
57.0,63745.0,north,web
54.0,80151.0,east,web
49.0,62533.0,south,web
40.0,62224.0,north,web
55.0,50455.0,north,web
35.0,62754.0,north,store
45.0,45822.0,south,web
48.0,60913.0,south,store
52.0,65472.0,east,store
70.0,78943.0,north,store
37.0,53491.0,east,store
27.0,61183.0,north,store
46.0,61350.0,north,web
48.0,63367.0,east,store
26.0,50077.0,north,store
58.0,43135.0,north,store
50.0,76770.0,south,store
38.0,69664.0,east,web
23.0,76101.0,north,store
56.0,71204.0,south,web
51.0,88517.0,north,store
35.0,75161.0,north,web
41.0,73102.0,east,web
45.0,80571.0,south,store
56.0,71898.0,west,store
44.0,79549.0,east,web
26.0,65293.0,north,store
41.0,47020.0,north,store
44.0,50646.0,east,web
30.0,78440.0,north,web
43.0,34285.0,north,store
23.0,67943.0,south,store
50.0,31418.0,south,store
53.0,61851.0,south,store
51.0,62845.0,east,store
60.0,73688.0,east,store
46.0,68799.0,east,web
26.0,64973.0,north,store
43.0,57938.0,north,store
32.0,65176.0,south,store
34.0,57646.0,south,web
38.0,69195.0,east,web
74.0,75222.0,north,web
66.0,59971.0,north,web
37.0,39663.0,south,web
60.0,68175.0,east,store
47.0,62664.0,north,web
18.0,41221.0,north,web
31.0,29054.0,north,store
60.0,60842.0,south,store
43.0,73196.0,south,store
46.0,87631.0,north,web
43.0,57569.0,south,web
32.0,43719.0,north,store
65.0,82327.0,south,web
45.0,47387.0,north,web
59.0,78991.0,north,web
33.0,62224.0,south,store
39.0,65722.0,south,web
52.0,24619.0,north,web
19.0,82524.0,south,web
39.0,51795.0,west,web
36.0,86277.0,north,store
49.0,61714.0,east,store
32.0,64922.0,west,store
18.0,57855.0,west,web
49.0,45551.0,south,web
38.0,65127.0,south,web
52.0,48512.0,north,web
42.0,28458.0,south,web
41.0,61346.0,south,store
34.0,54459.0,north,web
32.0,37575.0,east,store
16.0,35249.0,north,store
43.0,51600.0,east,store
40.0,57526.0,north,store
32.0,48339.0,east,web
62.0,23990.0,north,store
53.0,41511.0,north,store
47.0,57428.0,north,store
39.0,42575.0,south,web
62.0,67544.0,west,web
52.0,65515.0,east,web
60.0,44647.0,east,store
56.0,60999.0,north,web
48.0,63296.0,north,store
46.0,61645.0,north,store
45.0,78984.0,east,web
48.0,52917.0,west,web
51.0,49736.0,west,web
44.0,88374.0,west,web
49.0,54978.0,north,web
49.0,93705.0,north,store
72.0,65209.0,east,store
62.0,37303.0,east,web
51.0,29950.0,south,store
53.0,64667.0,south,store
34.0,43093.0,north,web
35.0,70211.0,east,store
63.0,68006.0,east,store
46.0,54647.0,north,store
67.0,60237.0,north,store
56.0,52536.0,north,web
47.0,28667.0,south,store
50.0,83959.0,north,store
33.0,51392.0,north,store
25.0,60189.0,east,store
44.0,57042.0,south,web
36.0,67610.0,north,store
36.0,45479.0,north,web
55.0,65355.0,east,store
48.0,70794.0,south,store
57.0,32307.0,north,store
46.0,53145.0,north,web
52.0,68892.0,north,web
46.0,60451.0,north,store
43.0,53308.0,west,web
65.0,63740.0,west,web
43.0,61434.0,north,store
33.0,43046.0,north,web
46.0,71965.0,north,store
38.0,42894.0,east,web
21.0,50616.0,west,web
61.0,60961.0,east,web
62.0,80864.0,east,web
43.0,59699.0,east,store
41.0,77360.0,north,store
45.0,64228.0,east,web
34.0,58540.0,north,store
48.0,67232.0,north,store
34.0,72259.0,north,web
33.0,54212.0,east,store
46.0,87328.0,west,store
52.0,76488.0,north,store
29.0,41121.0,north,store
54.0,46368.0,north,store
56.0,66022.0,north,store
43.0,61548.0,west,web
69.0,73754.0,south,web
32.0,82526.0,north,web
51.0,42479.0,north,store
59.0,60339.0,east,store
46.0,80236.0,south,web
50.0,76182.0,north,web
39.0,55161.0,north,web
39.0,38570.0,east,store
52.0,49531.0,north,web
20.0,66616.0,south,store
38.0,44679.0,south,web
57.0,57034.0,east,web
63.0,49713.0,south,web
47.0,34447.0,south,store
64.0,54287.0,north,web
38.0,36384.0,east,store
38.0,73363.0,west,store
31.0,76745.0,north,store
58.0,91567.0,east,store
67.0,39962.0,west,store
29.0,38235.0,east,store
50.0,63390.0,north,web
45.0,70136.0,north,web
43.0,38822.0,west,web
59.0,21608.0,north,web
63.0,51694.0,east,store
39.0,45408.0,north,web
36.0,73328.0,north,store
57.0,57973.0,west,store
50.0,55412.0,north,web
30.0,60939.0,north,store
51.0,42414.0,south,store
45.0,70728.0,south,store
43.0,36494.0,west,web
48.0,57162.0,east,web
38.0,58461.0,north,web
57.0,55867.0,north,store
45.0,59889.0,south,web
54.0,62872.0,north,store
38.0,62899.0,north,store
44.0,61912.0,east,web
47.0,51307.0,north,store
60.0,57698.0,west,web
62.0,61949.0,north,store
61.0,82704.0,north,web
50.0,51740.0,east,web
39.0,86184.0,east,web
65.0,76666.0,west,store
47.0,88869.0,north,store
48.0,91398.0,south,web
48.0,57707.0,north,store
44.0,77168.0,south,store
36.0,50552.0,north,web
48.0,59483.0,north,store
47.0,48675.0,west,web
55.0,77707.0,north,store
58.0,39626.0,north,store
51.0,42071.0,east,web
33.0,65976.0,east,store
51.0,60098.0,north,web
35.0,54897.0,east,store
28.0,80950.0,north,store
30.0,38988.0,south,store
62.0,52381.0,east,web
53.0,85718.0,north,web
18.0,58076.0,north,web
30.0,38824.0,east,web
52.0,78686.0,east,store
40.0,61849.0,east,store
13.0,47347.0,north,store
31.0,48810.0,east,web
48.0,57234.0,south,web
42.0,75413.0,north,web
28.0,32172.0,south,store
65.0,77456.0,north,store
33.0,49474.0,north,store
49.0,35446.0,east,store
60.0,58241.0,east,store
40.0,78720.0,north,store
34.0,80875.0,south,web
61.0,27627.0,east,store
42.0,57375.0,north,web
60.0,59057.0,south,web
55.0,72185.0,north,store
54.0,47837.0,south,web
34.0,92974.0,north,web
42.0,44200.0,west,store
60.0,54342.0,east,web
69.0,43022.0,north,web
52.0,24296.0,west,store
49.0,77244.0,north,store
39.0,34719.0,north,store
38.0,51253.0,east,web
41.0,72091.0,south,store
56.0,54844.0,south,store
41.0,36179.0,east,store
50.0,60551.0,north,store
59.0,43312.0,north,web
30.0,66115.0,north,store
44.0,65471.0,north,web
23.0,33825.0,south,store
51.0,67430.0,north,web
59.0,50114.0,north,store
49.0,44459.0,east,store
27.0,29155.0,west,web
51.0,95967.0,east,web
35.0,55625.0,south,store
61.0,32342.0,north,store
41.0,46796.0,east,web
35.0,63707.0,west,web
68.0,67533.0,west,web
35.0,48140.0,north,store
51.0,78558.0,west,web
16.0,56776.0,south,web
47.0,61950.0,north,store
46.0,70152.0,north,store
53.0,85122.0,north,web
62.0,79694.0,north,store
36.0,47337.0,west,web
56.0,69376.0,north,store
34.0,59053.0,west,web
26.0,79156.0,north,store
38.0,65906.0,south,web
34.0,62879.0,north,store
50.0,67082.0,west,web
58.0,43379.0,south,store
41.0,66353.0,south,store
35.0,58417.0,south,web
50.0,62283.0,north,store
44.0,50802.0,west,store
60.0,65302.0,north,web
46.0,60597.0,south,web
63.0,82302.0,west,web
23.0,59895.0,north,web
36.0,53998.0,north,web
45.0,84170.0,east,web
46.0,81377.0,north,store
44.0,62922.0,north,web
48.0,55079.0,north,store
48.0,51563.0,south,store
37.0,43157.0,north,store
37.0,61367.0,north,web
51.0,49232.0,north,store
47.0,32646.0,south,store
54.0,68138.0,south,web
52.0,57546.0,west,web
43.0,49269.0,north,web
35.0,67531.0,east,web
74.0,58883.0,west,store
71.0,38613.0,north,web
51.0,76837.0,north,web
45.0,58293.0,north,store
37.0,61570.0,north,store
75.0,42232.0,north,web
49.0,96590.0,north,store
62.0,69458.0,west,store
50.0,46840.0,north,store
33.0,83376.0,north,web
59.0,59258.0,north,store
37.0,60354.0,south,store
40.0,67538.0,north,web
55.0,58739.0,south,web
62.0,57546.0,south,web
74.0,56638.0,north,store
64.0,55362.0,north,web
57.0,68367.0,north,store
54.0,64105.0,east,store
45.0,54484.0,north,web
48.0,63193.0,east,store
46.0,55913.0,north,web
38.0,45981.0,south,web
43.0,51145.0,north,web
45.0,55237.0,east,web
68.0,37870.0,north,web
45.0,42642.0,south,web
56.0,59255.0,east,store
64.0,55125.0,west,store
28.0,44687.0,north,store
53.0,79026.0,north,web
71.0,100893.0,south,store
45.0,62401.0,south,web
37.0,48423.0,north,store
27.0,86872.0,east,store
32.0,47768.0,north,store
73.0,45422.0,east,store
35.0,78622.0,east,store
59.0,50915.0,south,store
55.0,67498.0,east,web
31.0,88991.0,west,web
59.0,52987.0,north,store
47.0,70816.0,north,web
39.0,90200.0,south,store
41.0,112060.0,north,store
57.0,84652.0,north,web
47.0,19628.0,north,web
51.0,43378.0,east,web
44.0,79757.0,east,store
56.0,54957.0,west,store
49.0,52306.0,east,web
68.0,72397.0,east,web
49.0,26874.0,north,store
40.0,44082.0,south,web
58.0,85071.0,north,store
37.0,54893.0,north,web
66.0,64877.0,north,store
46.0,55081.0,north,store
60.0,65243.0,south,store
43.0,35763.0,west,web
35.0,40509.0,east,web
58.0,63410.0,west,store
26.0,65870.0,south,store
59.0,53008.0,east,web
69.0,46394.0,north,store
49.0,33790.0,south,store
22.0,54637.0,east,store
52.0,37106.0,north,web
40.0,73216.0,north,web
55.0,68319.0,east,store
42.0,57486.0,north,store
48.0,77256.0,north,store
10.0,42541.0,north,web
31.0,57827.0,west,web
58.0,58711.0,north,web
61.0,57900.0,north,store
50.0,57013.0,south,web
53.0,36730.0,south,store
51.0,62440.0,east,store
51.0,58164.0,east,store
39.0,70762.0,north,store
53.0,56490.0,north,web
40.0,53830.0,south,store
32.0,56556.0,east,store
71.0,41889.0,north,store
38.0,78440.0,north,web
69.0,47312.0,west,store
29.0,69995.0,east,web
49.0,55280.0,east,web
37.0,36640.0,east,web
55.0,62848.0,east,store
63.0,78467.0,south,store
35.0,72590.0,north,store
62.0,14918.0,east,store
43.0,33926.0,north,store
57.0,60598.0,east,store
47.0,54225.0,east,store
45.0,75989.0,west,store
61.0,70909.0,north,web
83.0,74188.0,north,store
27.0,62553.0,north,store
60.0,70389.0,east,web
41.0,100118.0,south,web
35.0,72299.0,east,store
50.0,41423.0,north,web
59.0,68387.0,north,web
54.0,48251.0,north,store
44.0,33940.0,south,store
43.0,63257.0,west,store
39.0,64960.0,north,web
58.0,53690.0,north,web
53.0,53751.0,south,store
45.0,78117.0,north,web
51.0,77161.0,south,web
63.0,73352.0,east,store
44.0,54654.0,west,store
46.0,48199.0,east,store
60.0,52859.0,north,web
32.0,75632.0,east,store
46.0,54873.0,west,store
50.0,72687.0,north,web
50.0,67727.0,north,web
31.0,49134.0,north,store
29.0,82758.0,north,store
44.0,63029.0,north,store
29.0,68672.0,north,store
44.0,67294.0,north,store
40.0,53259.0,north,web
41.0,96236.0,south,web
19.0,77248.0,west,store
58.0,58691.0,east,store
70.0,62326.0,north,web
37.0,69014.0,east,web
29.0,60346.0,north,store
45.0,80706.0,east,store
27.0,67673.0,north,web
76.0,55591.0,south,store
53.0,41262.0,south,web
63.0,71099.0,west,store
58.0,60969.0,east,web
38.0,64690.0,north,store
60.0,61451.0,north,store
71.0,55452.0,south,web
45.0,31580.0,south,web
41.0,67879.0,east,web
29.0,75712.0,north,web
28.0,40389.0,north,store
34.0,81690.0,south,store
47.0,31491.0,south,web
37.0,44490.0,north,store
48.0,50557.0,north,web
83.0,78916.0,north,web
38.0,70418.0,north,store
69.0,56310.0,north,web
49.0,69766.0,north,web
38.0,51054.0,south,web
56.0,56616.0,north,web
45.0,65308.0,north,web
40.0,59347.0,south,store
54.0,61964.0,east,store
34.0,99308.0,south,store
44.0,83741.0,east,web
20.0,64153.0,north,store
46.0,53884.0,north,store
30.0,54447.0,east,web
51.0,59703.0,north,web
66.0,42113.0,north,web
63.0,53689.0,south,web
34.0,85510.0,north,web
37.0,73249.0,south,store
58.0,45430.0,north,store
44.0,58717.0,south,store
44.0,52884.0,north,web
33.0,50276.0,north,web
53.0,46029.0,east,store
35.0,57377.0,south,store
43.0,71010.0,south,store
48.0,45608.0,north,store
68.0,63737.0,east,web
59.0,70470.0,north,web
40.0,57389.0,east,store
47.0,99323.0,north,store
38.0,57200.0,north,store
53.0,92971.0,north,store
42.0,31830.0,west,web
43.0,64208.0,north,web
31.0,42121.0,south,store
40.0,61058.0,north,store
39.0,80110.0,south,store
35.0,66449.0,east,store
47.0,49979.0,east,web
59.0,35777.0,north,web
57.0,50670.0,south,store
46.0,67197.0,south,web
47.0,36192.0,south,store
66.0,59898.0,east,web
58.0,61186.0,east,web
37.0,28511.0,north,web
66.0,62564.0,south,store
35.0,68404.0,north,web
55.0,64820.0,north,web
48.0,42555.0,north,web
32.0,83498.0,east,store
75.0,77327.0,south,store
57.0,64321.0,south,store
47.0,79803.0,north,web
40.0,64175.0,west,web
57.0,57387.0,north,store
40.0,90972.0,east,web
40.0,31522.0,east,web
61.0,70437.0,north,web
60.0,56442.0,south,web
48.0,55734.0,south,store
37.0,66025.0,north,store
38.0,49036.0,north,web
45.0,55903.0,east,web
60.0,56618.0,north,web
63.0,94047.0,north,web
40.0,68501.0,north,store
44.0,68675.0,west,web
37.0,66936.0,north,store
47.0,61448.0,north,store
40.0,70943.0,west,store
43.0,53165.0,north,store
42.0,52616.0,east,store
43.0,78074.0,east,store
41.0,40840.0,east,store
44.0,56702.0,south,store
49.0,60169.0,west,store
39.0,72239.0,west,web
17.0,65285.0,south,web
55.0,59011.0,north,store
50.0,65968.0,south,store
41.0,58892.0,west,web
39.0,50020.0,south,store
46.0,59926.0,north,store
69.0,83752.0,east,web
48.0,64010.0,north,store
20.0,72065.0,west,store
61.0,64159.0,north,store
26.0,89716.0,east,store
44.0,49506.0,east,store
63.0,55498.0,north,store
37.0,65503.0,north,store
50.0,81559.0,north,web
46.0,52729.0,south,store
57.0,70582.0,north,web
51.0,79497.0,south,store
43.0,54959.0,north,web
30.0,49030.0,north,store
23.0,61990.0,east,store
22.0,62950.0,north,web
43.0,81375.0,south,web
35.0,74488.0,west,store
62.0,81693.0,west,store
36.0,63868.0,north,web
34.0,51760.0,north,store
37.0,79904.0,west,web
45.0,65466.0,west,store
48.0,66155.0,north,store
43.0,30819.0,north,web
57.0,69225.0,south,web
41.0,62597.0,north,web
70.0,43737.0,south,web
30.0,67868.0,east,store
23.0,68838.0,west,store
48.0,45080.0,east,web
28.0,94360.0,south,web
44.0,44590.0,south,store
46.0,66455.0,north,store
46.0,39061.0,east,store
46.0,61734.0,north,web
42.0,86491.0,north,web
34.0,64614.0,west,web
34.0,69488.0,west,store
57.0,58423.0,east,web
52.0,46490.0,north,web
39.0,95308.0,west,web
47.0,96168.0,south,web
48.0,53211.0,west,web
61.0,66725.0,south,store
31.0,37037.0,north,web
25.0,55044.0,north,web
28.0,60112.0,south,web
55.0,42028.0,west,web
50.0,69472.0,west,web
33.0,68335.0,south,store
27.0,55569.0,north,store
54.0,66288.0,east,store
49.0,75824.0,north,web
20.0,39153.0,east,store
43.0,62565.0,west,store
51.0,82264.0,west,web
47.0,64400.0,north,web
25.0,69203.0,north,web
61.0,66211.0,south,web
82.0,46390.0,west,store
35.0,2926.0,north,web
30.0,70798.0,north,web
30.0,56220.0,south,store
44.0,34209.0,north,store
51.0,66996.0,north,store
37.0,92264.0,north,store
38.0,37360.0,north,store
23.0,63611.0,south,store
49.0,57116.0,east,store
40.0,63294.0,south,store
57.0,52383.0,south,web
45.0,80175.0,north,web
35.0,49155.0,north,web
61.0,41058.0,north,store
45.0,67418.0,east,store
22.0,52797.0,east,web
36.0,64179.0,south,web
43.0,58841.0,west,web
43.0,42881.0,north,web
52.0,47945.0,south,store
37.0,38776.0,east,web
16.0,66092.0,north,store
43.0,36962.0,east,web
43.0,75659.0,north,web
18.0,54509.0,east,store
36.0,67244.0,north,store
67.0,39109.0,north,store
53.0,61954.0,north,web
42.0,37886.0,north,web
67.0,64073.0,south,web
